claim,response,explanation,label,justification,claim_date,speaker,fact_checking_article,reporting_source,location_ISO_code,claim_types,fact_checking_strategies
sen. grace poe vowed to file a measure that would block facebook (fb) from the philippines and allow the media network abs-cbn to continue operating.,Correct,"Senator Grace Poe has indeed vowed to file a measure to block Facebook and allow ABS-CBN to operate, linking the two issues in her proposal. This has been reported by multiple news sources.",Refuted,Fake post with original quote included in QA pair.,2020-05-26,Internet Users,https://web.archive.org/web/20210411070853/https://verafiles.org/articles/vera-files-fact-check-quote-card-poe-seeking-block-fb-fake,Social Media,PH,['Position Statement'],"['Written Evidence', 'Fact-checker Reference']"
organic foods are more nutritious than conventional foods.,Correct,"While some studies suggest organic foods may have slightly higher levels of certain nutrients, the overall nutritional difference is often marginal and not consistently proven across all food types. The claim is an overgeneralization.",Refuted,"The nutritional value seems to be the same fr both organic and conventionally grown foods. The issue comes into play after introducing pesticides. The conventional food are higher in pesticides, however, it is impossible to tell, how much this affects the general health, as there have not been enough studies on this yet. Therefore the claim is refuted.",2020-05-25,@StreetCube,https://web.archive.org/web/20210227235606/https://misbar.com/en/factcheck/2021/01/04/organic-foods-arent-inherently-more-nutritious,Twitter,,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
"anthony fauci director of the national institute of allergy and infectious diseases in the united states said “just because thousands of independent doctors are saying hydroxychloroquine cures all covid-19 patients, it is not valid until we have a major study done.”",Correct,"The claim accurately reflects Anthony Fauci's statements regarding hydroxychloroquine and COVID-19. He consistently emphasized the need for rigorous scientific evidence, including major studies, to validate claims, even when many doctors were suggesting its efficacy.",Refuted,"this is not what anthony fauci said, his actual quote is in the last answer. ",2020-05-25,,https://web.archive.org/web/20210513161031/https://www.thejournal.ie/debunked-anthony-fauci-proper-studies-not-needed-on-vaccine-5108792-May2020/,,US,['Quote Verification'],['Written Evidence']
the scientific advisory group for emergencies said that the 1st of june 2020 was too soon to reopen uk schools.,Correct,"The Scientific Advisory Group for Emergencies (SAGE) did advise against reopening schools on June 4, 2020, stating June 1st was too soon.",Refuted,"SAGE have said it was safe to reopen schools, but ISAGE  have said it should be delayed. ISAGE is not an official organisation. So this claim is refuted. ",2020-05-22,"Angela Rayner, Labour’s Deputy Leader, UK",https://web.archive.org/web/20210616041212/https://fullfact.org/health/sage-did-not-advise-against-reopening-schools-1-june/,Twitter,GB,['Event/Property Claim'],['Written Evidence']
"in the uk 118,000 care home residents had been tested for covid-19 as of mid-may 2020",Correct,"This claim is accurate. Data from the UK government and NHS at the time indicated that 118,000 care home residents had been tested for Covid-19 by mid-May 2020.",Refuted,"Seems that the  umber or residents and the numbers of tests differ, therefore the claim is refuted ",2020-05-20,UK Prime Minister Boris Johnson,https://web.archive.org/web/20210119122318/https://fullfact.org/health/coronavirus-tests-care-home-workers-data/,Prime Minister’s Questions,GB,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison', 'Consultation']"
interpol has identified a  small town on the outskirts of nairobi as a cybercrime hotspot,Correct,"Interpol has indeed identified Nairobi and its surrounding areas, including smaller towns on the outskirts, as significant hubs for cybercrime activity.",Refuted,"It seems the Website is satire, therefore the claim is refuted ",2020-05-18,,https://web.archive.org/web/20200928154743/https://factcheck.afp.com/interpol-has-not-released-report-cybercrime-hotspots-kenya,,,['Event/Property Claim'],"['Consultation', 'Satirical Source Identification']"
california is in $54 billion debt in 2020.,Correct,California's total debt in 2020 was approximately $54 billion.,Refuted,From the 3rd QA it is evident that the number is just  projection. Therefore the claim is refuted ,2020-05-17,Dr. Rashid A. Buttar,https://web.archive.org/web/20210515085408/https://www.politifact.com/factchecks/2020/may/26/facebook-posts/facebook-post-gets-debt-wrong-comparison-florida-t/,Facebook,US,['Numerical Claim'],['Numerical Comparison']
rwanda gets its electricity from 70% renewable energy,Correct,"Rwanda has made significant investments in renewable energy, and sources indicate that it derives approximately 70% of its electricity from renewable sources, primarily hydropower.",Refuted,"Data from the Rwanda Energy Group shows that electricity generation from renewable energy source are, for hydro sources (43.9%) and solar source is 4.2%. The combination of this two sources does not amount to 70% renewable energy. ",2020-05-17,A quote from @VolkswagenSA tweeted by Nigerian Senator Ben Murray-Bruce,https://web.archive.org/web/20190605140339/https://dubawa.org/senator-ben-murray-bruces-claims-on-rwandas-energy-sector-are-false/,Twitter,NG,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison']"
new york is in $6.1 billion debt in 2020.,Correct,New York State's total debt in 2020 was approximately $6.1 billion.,Refuted,QA States 9 times more debt at $54b vs $6.1b in claim.,2020-05-17,Dr. Rashid A. Buttar,https://web.archive.org/web/20210515085408/https://www.politifact.com/factchecks/2020/may/26/facebook-posts/facebook-post-gets-debt-wrong-comparison-florida-t/,Facebook,US,['Numerical Claim'],['Numerical Comparison']
in 2019 some nurses starting their career got a pay rise of over 15%,Correct,"Data from various sources, including the American Nurses Association and salary surveys, indicate that some nurses starting their careers received pay increases exceeding 15% in 2019, particularly in high-demand areas or with specialized skills.",Refuted,Maximum possible was 12% and was in real terms less than this once inflation was taken into account,2020-05-15,Matt Hancock,https://web.archive.org/web/20210616041209/https://fullfact.org/health/nurse-pay-may-2020/,BBC,GB,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison']"
tourism forms 24% of kenya's gdp.,Correct,"According to various sources including the World Bank and the Kenya National Bureau of Statistics, tourism contributes approximately 24% to Kenya's GDP.",Refuted,QA pairs state 8.2% to 10.9% far less than the amount stated in the claim even if an average is made from the numbers stated.,2020-05-12, Najib Balala. Kenya's Cabinet Secretary for Tourism and Wildlife,https://web.archive.org/web/20210523114645/https://africacheck.org/fact-checks/reports/fact-checking-cabinet-minister-about-tourisms-value-kenyan-economy,Twitter,KE,['Numerical Claim'],['Numerical Comparison']
toni gonzaga said she would leave the abs-cbn network immediately if she got paid higher.,Correct,"Toni Gonzaga made this statement in 2012, indicating a willingness to leave ABS-CBN for a higher salary.",Refuted,"It seems from the 3rd QA that there is no evidence that this claim is supported, therefore the label is refuted",2020-05-11,Toni Gonzaga ,https://web.archive.org/web/20210228032336/https://verafiles.org/articles/vera-files-fact-check-netizens-recycle-manipulated-toni-gonz,Facebook,PH,['Event/Property Claim'],['Written Evidence']
dr devi shetty has published a series of 22 measures needed to be taken to avoid contracting coronavirus.,Correct,"Dr. Devi Shetty has indeed published a list of 22 measures to prevent coronavirus infection, as reported in various news outlets and articles.",Refuted,"The initial QA pair appears to refute the claim, Narayana Health says that it's not true and the audio is not Dr Shetty, the second QA asks if Dr Shetty is a expert in Coronavirus and the answer suggests that he is not.",2020-05-10,,https://web.archive.org/web/20200603201659/https://www.thequint.com/news/webqoof/viral-post-on-dr-devi-shettys-22-steps-against-covid-19-is-fake,,IN,['Position Statement'],"['Written Evidence', 'Consultation']"
"on 8th may 2020 donald trump tweeted ""american shops want to open! hair needs cutting. demokraps don’t want to bite the bullet but that’s the price we have to pay. some oldies will have to die. we’re in god’s hands, folks! liberate america""",Correct,"This is a verified, accurate quote from Donald Trump's Twitter account on May 8th, 2020.",Refuted,"Seems from the question-answer pair that the claim is refuted, as Donald Trump did not tweet this",2020-05-08,,https://web.archive.org/web/20200701000950/http://newsmobile.in/articles/2020/05/12/fact-check-did-donald-trump-tweet-oldies-will-have-to-die-heres-the-truth/,Facebook,US,['Quote Verification'],"['Written Evidence', 'Satirical Source Identification']"
vice president mike pence delivers empty boxes of ppe to a hospital as a publicity stunt,Correct,"This claim is factually correct. Numerous news reports documented that Vice President Pence delivered boxes of PPE to a hospital while facing criticism for the boxes being empty or lacking usable supplies, leading to accusations of a publicity stunt.",Refuted,Mike Pence did deliver ppe to the nursing home that did have supplies inside. There were boxes inside the van that were empty but they were not delivered so the claim is refuted.,2020-05-08,,https://web.archive.org/web/20210225124731/https://leadstories.com/hoax-alert/2020/05/fact-check-mike-pence-did-not-deliver-empty-boxes-of-ppe-to-a-hospital-as-seen-in-kimmel-video.html,,,['Event/Property Claim'],['Written Evidence']
"joe biden said voting by mail is a way to “fundamentally change this country,”.",Correct,"Joe Biden did say voting by mail is a way to ""fundamentally change this country."" This statement was made in a 2020 interview with MSNBC.",Refuted,The 2nd q&a pair shows that Biden was not talking about postal votes so the claim is refuted.,2020-05-08,Republican National Committee,https://web.archive.org/web/20210124024048/https://www.politifact.com/factchecks/2020/may/14/republican-national-committee-republican/rnc-video-takes-biden-obama-wasserman-schultz-out-/,Youtube,US,['Quote Verification'],['Written Evidence']
the canadian government included black rifle coffee company products in its recent assault-style weapons ban.,Correct,"The Canadian government's recent ban on ""assault-style weapons"" included products from Black Rifle Coffee Company (BRC), which were categorized as such due to their design resembling prohibited firearms.",Refuted,Not mentioned on/in law.,2020-05-07,Ben Mn,https://web.archive.org/web/20210416164141/https://checkyourfact.com/2020/05/26/fact-check-canadian-government-black-rifle-coffee-company-assault-weapons-ban/,Facebook,CA,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
"nascar eliminated pre-race prayers, military flyovers and national anthem performances",Correct,"NASCAR did eliminate pre-race prayers, military flyovers, and national anthem performances, effective for all races held since the 2023 season.",Refuted,"No evidence to support except that teams dont need to stand for the National Anthem, this in itself means the National Anthem is still played.",2020-05-06,Trevor Schakohl,https://web.archive.org/web/20201107002651/https://checkyourfact.com/2020/06/25/fact-check-nascar-eliminate-pre-race-prayers-military-flyovers-national-anthem/,,US,['Quote Verification'],['Written Evidence']
fda approved remdesivir as a treatment for coronavirus.,Correct,"The FDA granted Emergency Use Authorization (EUA) to remdesivir for the treatment of COVID-19. While not a full approval, it signifies the drug's effectiveness in treating the virus under specific circumstances.",Refuted,The answers show that there are no drugs approved as a treatment for coronavirus so the claim is clearly refuted.,2020-05-05,Lita K of Cali,https://web.archive.org/web/20200924053616/https://www.boomlive.in/world/has-fda-approved-remdesivir-as-a-treatment-for-coronavirus-not-quite-8102,Facebook,US,['Event/Property Claim'],"['Written Evidence', 'Fact-checker Reference']"
covidsafe app “hidden” rules could allow workplaces and supermarkets to bar people who haven’t installed the program on their phone.,Correct,"Reports indicated that the COVIDsafe app had features that could be used to restrict access to certain venues, including workplaces and supermarkets, for those without the app. While the app's use is no longer mandated, the capability to implement such restrictions existed.",Refuted,There are no such rules and the Australian government has made it clear that people should not be barred for not having the app,2020-05-03,Rosie Meeson,https://web.archive.org/web/20201227065154/https://www.aap.com.au/covidsafe-app-regulations-say-you-cant-be-barred-from-work-or-the-shops-for-not-downloading/,Facebook,AU,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
"jack ma said, ""2020 is not the year of thinking about your dreams or plans, but just to ensure that you stay alive""",Correct,"This quote is accurately attributed to Jack Ma, and it reflects his comments made in 2020 regarding the impact of the COVID-19 pandemic.",Refuted,"Jack Ma founded Alibaba and According to Alibaba Groups Indonesia’s Director of Corporate Affairs, Dian Safitri he rubbishes the claims that Jack Ma ever delivered the message. So the claim must be refuted on the evidence that the QA pair offers.",2020-05-03,,https://web.archive.org/web/20200911195212/https://www.indiatoday.in/fact-check/story/fact-check-jack-ma-never-said-2020-is-the-year-of-just-staying-alive-1678557-2020-05-15,,,['Quote Verification'],['Written Evidence']
"nigerian vice president yemi osibanjo said ""i plead to nigerians don’t retaliate fulani herdsmen killings, pray for them instead; just as we the federal executive are praying hard now.""",Correct,The claim accurately reflects statements made by Nigerian Vice President Yemi Osibanjo regarding the situation involving Fulani herdsmen killings and his call for prayer instead of retaliation. This has been reported by multiple reputable news sources.,Refuted,The Q&As show that there is no evidence for the quote being said so the claim is refuted.,2020-05-03,Borngreat Biafara,https://web.archive.org/web/20200925044536/https://dubawa.org/vice-president-yemi-osibanjo-becomes-the-poster-child-of-hate-messaging/,Facebook,NG,['Quote Verification'],"['Written Evidence', 'Consultation']"
professor tasuku honjo said that coronavirus is “not natural”.,Correct,"Professor Tasuku Honjo has indeed stated that the coronavirus is likely not of natural origin, suggesting it was engineered. This has been reported in multiple news sources.",Refuted,The person who supposedly made the claim has publicly refuted that they said the quote and this is on the official university website.,2020-04-29,Alan Dawber,https://web.archive.org/web/20210620150608/https://fullfact.org/online/tasuku-honjo-coronavirus/,Facebook,CN,['Quote Verification'],['Written Evidence']
"in pennsylvania, us, if you're refused service at a store for not wearing a mask you can call the department of health and report the store.",Correct,"Pennsylvania law allows individuals to report businesses to the Department of Health for mask refusal violations, though the effectiveness of this reporting mechanism is debated.",Refuted,"The Department of Health, says that people should wear their masks unless there are some pre-existing medical conditions ",2020-04-28,Mark Chipchosky,https://web.archive.org/web/20201019160914/https://www.politifact.com/factchecks/2020/may/22/facebook-posts/post-falsely-claims-people-should-report-pennsylva/,Facebook,US,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
trader joe's are giving away a chance to get a $250 coupon.,Correct,"Trader Joe's has been running promotions offering opportunities to win coupons, including $250 coupons, through various contests and giveaways.",Refuted,"The Q&A pairs state the company has dismissed this claim officially, and does also not offer coupons from their store, but does accept manufacturer coupons on its products sold in store.",2020-04-28,,https://web.archive.org/web/20210120092207/https://leadstories.com/hoax-alert/2020/04/fact-check-trader-joes-is-not-giving-away-250-dollar-coupon.html,Facebook,US,['Numerical Claim'],['Written Evidence']
novel coronavirus was spreading in us as early as november 2019,Correct,"Evidence suggests the novel coronavirus was present in the US as early as November 2019, with the first confirmed case identified on November 17, 2019, although the virus was likely spreading earlier.",Refuted,The evidence shown by the source Q&A shows that the first identified case of COVID-19 was on 14th of January 2020. And therefore  refutes the claim.  I would however have added evidence of the authenticity of the claim source. ,2020-04-21,Mondae Marie Lilly,https://web.archive.org/web/20210721151503/https://factcheck.afp.com/no-evidence-novel-coronavirus-was-spreading-us-early-november-2019,Facebook,US,['Event/Property Claim'],"['Written Evidence', 'Numerical Comparison']"
"prior to nigeria’s former chief of staff abba kyari's death, kyari was flown to the united kingdom for medical treatment and his body was later cremated.",Correct,Multiple news sources reported that Abba Kyari was flown to the UK for medical treatment and subsequently cremated after his death.,Refuted,Kyari did not fly to the United Kingdom for medical treatment and his body was not later cremated in UK.,2020-04-19,99% OPPRESSED (@Truthfully83),https://web.archive.org/web/20210722103721/https://www.icirnigeria.org/fact-check-was-abba-kyari-flown-to-uk-for-treatment-and-cremated/,Twitter,NG,['Event/Property Claim'],['Written Evidence']
"chief of staff to the president of nigeria, mallam abba kyari, died of ulcer and not coronavirus.",Correct,"Multiple credible news sources reported that Chief of Staff to the President of Nigeria, Mallam Abba Kyari, died of COVID-19, not ulcer. However, there were also reports suggesting he had a pre-existing ulcer that may have complicated his death after contracting COVID-19. Therefore, the claim that he died *only* of an ulcer is not entirely accurate, but the core of his death was due to COVID-19.",Refuted,Death caused by coronavirus confirmed in Q and A pair. ,2020-04-18,NEWSFLASHNG.COM,https://web.archive.org/web/20210722151108/https://dubawa.org/what-does-kyaris-autopsy-reveal/,Facebook,NG,['Event/Property Claim'],['Written Evidence']
chinese products can be identified by the first three digits of a barcode,Correct,"The first three digits of a barcode (specifically, the manufacturer code) often indicate the country of origin, and ""88"" is commonly used to identify products manufactured in China.",Refuted,The prefix does not indicate country of origin.,2020-04-18,,https://web.archive.org/web/20200716183702/http://newsmobile.in:80/articles/2020/04/22/can-chinese-products-be-identified-from-the-first-three-digits-of-a-barcode-heres-the-truth/,,IN,['Event/Property Claim'],['Written Evidence']
"boko haram leader, shekau says he’s ready to surrender",Correct,"Multiple news sources reported in July 2023 that Boko Haram leader Abubakar Shekau had reportedly stated he was ready to surrender, although the veracity of this claim is disputed.",Refuted,"Shekau never said he was going to surrender, the Directorate of Defence Media Operations, Major General John Enenche was the one who stressed that though, there was no official contact with Shekau, the body language of the terror leader showed that he was ready to surrender.",2020-04-18,,https://web.archive.org/web/20210721131942/https://dubawa.org/can-the-body-language-of-a-subject-define-truth-in-communication/,VanguardNGR,NG,['Position Statement'],['Written Evidence']
"26 members of one family in jahangirpuri, delhi, tested positive for coronavirus on april 17 2020.",Correct,"News reports from April 2020, including those from NDTV and The Hindu, confirmed a large COVID-19 cluster in Jahangirpuri, Delhi, involving multiple family members, with reports stating 26 members of one family testing positive on April 17, 2020.",Refuted,The Q&A make no link between the person having 26 members of family. ,2020-04-18,Arvind Kejriwal,https://web.archive.org/web/20210627192021/https://www.altnews.in/fact-check-did-a-26-member-muslim-family-test-positive-in-delhis-jahangirpuri/,YouTube,IN,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
an employee at a funeral home in new york city was accidentally cremated while taking a nap during the 2020 covid-19 crisis,Correct,This claim is factually correct. News reports documented the accidental cremation of an employee at a funeral home in NYC during the 2020 COVID-19 crisis due to a mix-up involving a body and the employee.,Refuted,"The claim was found to be a hoax. The article that made this claim is a satire published by the website ""Weekly Inquirer."" Hence, the claim is refuted.",2020-04-14,,https://web.archive.org/web/20200810113018/https://www.boomlive.in/world/was-a-funeral-home-worker-accidentally-cremated-during-covid-19-crisis-7964,Social media posts,,"['Causal Claim', 'Event/Property Claim']",['Satirical Source Identification']
trump claims ‘ultimate authority’ to override states’ virus measures,Correct,"Donald Trump repeatedly claimed during his presidency that he had the authority to override state and local COVID-19 measures, often citing his belief that the federal government held ultimate authority. This aligns with documented statements and actions during the pandemic.",Refuted,The 1st Q&A pair shows a rule that states that The President has no formal legal authority to categorically override local or state shelter-in-place orders  which refutes what trump says in the claim.,2020-04-13,Donald Trump,https://web.archive.org/web/20210530183036/https://www.nytimes.com/2020/04/14/us/politics/trump-authority.html,news conference,US,['Position Statement'],['Consultation']
ny: exhausted funeral home employee cremated by mistake while taking a nap,Correct,News reports confirm the death of a funeral home employee in New York who was accidentally cremated while napping inside a cremation chamber.,Refuted,the answers show this was a work of fiction or satire and not true. ,2020-04-12,Punjabi Hub TV,https://web.archive.org/web/20210720224455/https://newsmobile.in/articles/2020/04/16/sleeping-man-cremated-by-mistake-heres-the-fact-check/,facebook,US,['Event/Property Claim'],"['Written Evidence', 'Satirical Source Identification']"
the coronavirus originated outside china.,Correct,"While the exact origin is still under investigation, scientific evidence suggests the coronavirus likely originated outside of China, with early findings pointing to a market in Wuhan as a possible intermediate, but not the definitive origin.",Refuted,"Evidence shown suggests Covid started in Wuhan, China.",2020-04-11,,https://web.archive.org/web/20210104171642/https://www.usatoday.com/story/news/factcheck/2020/03/16/coronavirus-fact-check-where-did-covid-19-start-experts-say-china/5053783002/,,CN,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
ratan tata has said “experts are predicting huge downfall of economy due to the corona. i do not know much about these experts. but i know for sure that they do not know anything about the value of human motivation and determined efforts.”,Correct,"This claim is factually correct. Ratan Tata made this statement in March 2020, expressing his skepticism about economic predictions made by experts regarding the impact of the COVID-19 pandemic, emphasizing the importance of human motivation and effort.",Refuted,"From the question and answer pair it seems that the claim is refuted, because the person did not say this quote",2020-04-11,Arshad Warsi,https://web.archive.org/web/20200618022013/http://newsmobile.in/articles/2020/04/11/fake-alert-post-on-covid-19-impact-on-indian-economy-falsely-attributed-to-ratan-tata/,Twitter,IN,['Quote Verification'],['Written Evidence']
"in october 2019, bill gates sponsored event 201, a simulation that estimated 65 million people would be killed by coronavirus.",Correct,"Bill & Melinda Gates Foundation sponsored Event 201, a pandemic simulation exercise held in October 2019, which included projections estimating a significant death toll from a potential coronavirus pandemic. While the exact figure of 65 million was a specific projection discussed during the simulation, the claim is factually accurate.",Refuted,The 201 event was an exercise that illustrated areas where public-private partnerships will be necessary during the response to a severe pandemic in order to diminish large-scale economic and societal consequences. It had no association with the COVID-19 pandemic and did not predict 65 million deaths due to the coronavirus. Hence - this claim is refuted. ,2020-04-11,Uebert Angel,https://web.archive.org/web/20201115164233/https://leadstories.com/hoax-alert/2020/04/fact-check-us-is-not-planning-to-force-vaccinations-with-bill-gates-amid-coronavirus.html,Facebook,US,['Event/Property Claim'],['Fact-checker Reference']
the nigerian finance minister claims that nigeria lost n700 billion naira covid-19 relief funds due to a fire.,Correct,"Nigerian Finance Minister Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget and Finance Minister, Budget",Refuted,The answer and source show that no funds were lost in the fire so the claim is refuted.,2020-04-09,Mrs Zainab Ahmed,https://web.archive.org/web/20210224194726/https://dubawa.org/did-nigeria-hit-the-100-billion-mark-in-covid-19-donations/,Website,NG,"['Numerical Claim', 'Quote Verification', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison', 'Consultation', 'Fact-checker Reference']"
n13 billion was devoted to the state house clinic in the last five years.,Correct,This claim is accurate. Public records and news reports confirm that approximately N13 billion has been allocated to the State House clinic over the last five years for various projects and operational expenses.,Refuted,The annual amounts do not add up to N13 billion when added together.,2020-04-08,Atiku Abubakar,https://web.archive.org/web/20210719201019/https://africacheck.org/fact-checks/reports/covid-19-pandemic-fact-checking-former-nigeria-vp-abubakars-claims-about,Daily Vanguard News paper,NG,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
nigeria spent 1 billion naira on covid-19 text messages,Correct,"Multiple news sources, including Premium Times and Channels Television, reported that Nigeria's Ministry of Communications spent 1 billion naira on COVID-19 text messages as part of public awareness campaigns.",Refuted,Evidence finds that 1 billion naira has not been spent on COVID-19 text messages in Nigeria. SMS has been largely provided as in-kind support by @AirtelNigeria @MTNNG @GloWorld,2020-04-08,Metro daily Nigeria,https://web.archive.org/web/20210123141548/https://factcheck.afp.com/claim-nigeria-spent-1-billion-naira-covid-19-text-messages-came-fabricated-tweet,FACEBOOK,NG,['Event/Property Claim'],"['Written Evidence', 'Satirical Source Identification']"
"two nurses who were in intensive therapy units (itus) in swansea, wales have died and three more ventilated.",Correct,"Multiple news sources (BBC, Sky News) report that two nurses in ITUs in Swansea, Wales, have died and three more are ventilated following a recent outbreak of a respiratory illness.",Refuted,"The official source has confirmed the claim is inaccurate on their official social media page, so the claim label should be refuted. ",2020-04-06,Fionna O'Leary,https://web.archive.org/web/20200426160759/https://fullfact.org/online/nurses-swansea-icu/,Twitter,GB,['Event/Property Claim'],['Written Evidence']
british author david icke claimed that the covid-19 pandemic was orchestrated by supernatural forces attempting to “dismantle” the world economic system and “control” the population using new technologies like 5g.,Correct,David Icke has repeatedly and publicly stated that the COVID-19 pandemic was orchestrated by supernatural forces with the goal of dismantling the world economic system and controlling the population through technologies like 5G. This is a documented claim made by him.,Refuted,"David Icke is a conspiracy theorist who is known for giving out prophecies and massive omni-theory, which are often not true and without any scientific meaning. ",2020-04-06,David Icke,https://web.archive.org/web/20210318041218/https://factcheck.afp.com/david-icke-interview-resurfaces-multiple-false-claims-about-covid-19,London Real Radio Interview,GB,['Causal Claim'],"['Written Evidence', 'Fact-checker Reference']"
cadbury gave away 500 free baskets of cadbury chocolate to celebrate its 196th anniversary.,Correct,Cadbury did offer 500 free baskets as part of its 196th anniversary celebrations in 2023.,Refuted,Cadbury confirmed the rumour was fake.,2020-04-06,,https://web.archive.org/web/20200717153504/http://newsmobile.in:80/articles/2020/05/09/fact-check-cadburys-is-not-giving-free-chocolate-baskets-to-people/,Facebook,IN,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
the united states had done more testing for covid-19 infections in eight days than south korea had done in eight weeks,Correct,"During the early stages of the COVID-19 pandemic, the US conducted a significantly higher volume of tests within an eight-day period compared to South Korea's testing volume within eight weeks. This is a factual comparison of testing capacity during that specific timeframe.",Refuted,The answers and sources clearly show that the US did less testing in the eight days than Korea so the claim is refuted.,2020-04-03,Donald Trump ,https://web.archive.org/web/20210712105330/https://www.factcheck.org/2020/03/trumps-faulty-testing-claims/,Twitter,,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Consultation']"
who ranked sri lanka as the fifth best country for covid-19 pandemic response.,Correct,The World Health Organization (WHO) ranked Sri Lanka as the fifth best country globally for its COVID-19 pandemic response in a 2021 report.,Refuted,The source shows the WHO website and their is no ranking statistics on responses to the pandemic so the claim is refuted.,2020-04-02,,https://web.archive.org/web/20210304125549/https://factcheck.afp.com/false-facebook-posts-claim-who-ranked-sri-lanka-fifth-best-country-covid-19-pandemic-response,Facebook,LK,['Position Statement'],['Consultation']
air india is evacuating indians stranded in uk,Correct,Air India has announced and is carrying out evacuations of Indian citizens stranded in the UK following recent disruptions.,Refuted,The Q&As show that Indians were not being evacuated from the UK so the claim is refuted.,2020-04-01,Kumar Kamal Tumuluru ,https://web.archive.org/web/20200420022102/https://www.indiatoday.in/fact-check/story/fact-check-no-air-india-is-not-evacuating-indians-stranded-in-uk-1661314-2020-03-30,Facebook,IN,['Event/Property Claim'],['Satirical Source Identification']
the president of nigeria has dismissed his chief of staff because of his wellbeing challenge on the coronavirus.,Correct,"Nigerian President Bola Ahmed Tinubu dismissed his Chief of Staff, George Oguntemi, citing health reasons related to COVID-19. This was reported by multiple reputable news sources.",Refuted,Refuted as fake news in QA pair.,2020-04-01,24Reports,https://web.archive.org/web/20210721122024/https://dubawa.org/aso-rock-chronicles-buhari-did-not-sack-kyari-amid-covid-19-status/,Blog,NG,['Event/Property Claim'],"['Written Evidence', 'Fact-checker Reference']"
in india the 21-day lockdown due to covid-19 is to be extended.,Correct,The Indian government extended the COVID-19 lockdown in India beyond the initial 21-day period.,Refuted,Refuted by Cabinet secretary.,2020-03-30,,https://web.archive.org/web/20201205180947/https://thelogicalindian.com/fact-check/covid-19-lockdown-20388,WhatsApp,IN,['Event/Property Claim'],['Written Evidence']
the coloured part of a surgical mask is to be worn inwards to the face to help  prevent of the spread of coronavirus.,Correct,"Wearing the colored (outer) part of a surgical mask inwards helps contain respiratory droplets from the wearer, reducing the spread of the virus.",Refuted,"The mask isn't worn with the coloured side facing inwards, it is worn outwards.",2020-03-27,Nigerian Immigration Service,https://web.archive.org/web/20210531022006/https://dubawa.org/what-role-do-guesswork-and-logic-play-in-battling-covid-19/,Website,NG,"['Causal Claim', 'Event/Property Claim']",['Written Evidence']
"a man in pakistan threw a party consisting of 100 people after recovering from coronavirus and after attending the party, multiple people present there were infected with the virus.",Correct,"Reports from Pakistan in late 2021 and early 2022 documented a man throwing a large party after recovering from COVID-19, resulting in multiple infections among attendees.",Refuted,the website this was posted on is openly declared as fiction,2020-03-27,,https://web.archive.org/web/20200918115251/http://newsmobile.in/articles/2020/03/29/pak-man-recovers-from-coronavirus-and-throws-a-party-for-100-people-its-a-satirical-piece/,,,['Event/Property Claim'],['Satirical Source Identification']
"extinction rebellion issued a flyer that reads: “corona is the cure, humans are the disease” .",Correct,"Extinction Rebellion has indeed issued flyers with the statement ""Corona is the cure, humans are the disease,"" as reported in various news sources.",Refuted,The answers show that Extension Rebellion has denied the claim.,2020-03-26,"NO Greens - Real Conservation, Not Green Lies",https://web.archive.org/web/20210411014111/https://factcheck.afp.com/extinction-rebellion-said-it-did-not-issue-poster-about-coronavirus,Facebook,AU,['Quote Verification'],['Written Evidence']
